der Schal	l'écharpe
die Fliege	le nœud papillon
die Krawatte	la cravate
die Strümpfe / Socken	les chaussettes
die Schuhe	les chaussures
die Flipflops	les tongs
die Uhr	la montre
der Ring	la bague
die Kette	le collier / la chaîne
das Armband	le bracelet
das Haarband	le bandeau pour les cheveux
der Stock	la canne
der Regenschirm	le parapluie
der Gürtel	la ceinture
die Brille	les lunettes
die Sonnenbrille	les lunettes de soleil
der Hut	le chapeau
die Kappe	la casquette
die Mütze	le bonnet
die Handschuhe	les gants
